match_id,phase,round,multiplier,group,home_team,away_team,date,venue,predicted_home_goals,predicted_away_goals,winning_team,match_winner,corners,yellow_cards,red_cards,penalties,home_xg,away_xg,home_strength,away_strength,predicted_home_team,predicted_away_team
1,Group,Group stage,1,A,Mexico,South Africa,2026-06-11,Estadio Azteca Mexico City,1,0,home,,9,3,0,,1.44,0.78,7.0,5.6,Mexico,South Africa
2,Group,Group stage,1,A,Korea Republic,Czechia,2026-06-12,Estadio Akron Guadalajara,1,1,draw,,9,4,0,,1.32,0.95,7.1,6.0,Korea Republic,Czechia
25,Group,Group stage,1,A,Czechia,South Africa,2026-06-18,Mercedes-Benz Stadium Atlanta,1,0,home,,8,3,0,,1.21,0.87,6.0,5.6,Czechia,South Africa
27,Group,Group stage,1,A,Mexico,Korea Republic,2026-06-19,Estadio Azteca Mexico City,1,1,draw,,9,4,0,,1.37,1.31,7.0,7.1,Mexico,Korea Republic
51,Group,Group stage,1,A,South Africa,Korea Republic,2026-06-25,Estadio BBVA Monterrey,0,2,away,,8,3,0,,0.78,1.42,5.6,7.1,South Africa,Korea Republic
53,Group,Group stage,1,A,Czechia,Mexico,2026-06-25,Estadio Azteca Mexico City,0,1,away,,9,3,0,,0.93,1.21,6.0,7.0,Czechia,Mexico
3,Group,Group stage,1,B,Canada,Bosnia and Herzegovina,2026-06-12,BMO Field Toronto,1,0,home,,9,3,0,,1.44,0.98,7.5,5.9,Canada,Bosnia and Herzegovina
8,Group,Group stage,1,B,Qatar,Switzerland,2026-06-13,Levis Stadium Santa Clara,0,1,away,,8,3,0,,0.85,1.32,5.3,7.2,Qatar,Switzerland
26,Group,Group stage,1,B,Switzerland,Bosnia and Herzegovina,2026-06-18,SoFi Stadium Los Angeles,2,0,home,,9,3,0,,1.74,0.72,7.2,5.9,Switzerland,Bosnia and Herzegovina
44,Group,Group stage,1,B,Canada,Qatar,2026-06-19,BC Place Vancouver,2,0,home,,9,3,0,,1.88,0.59,7.5,5.3,Canada,Qatar
52,Group,Group stage,1,B,Bosnia and Herzegovina,Qatar,2026-06-25,Lumen Field Seattle,1,0,home,,8,3,0,,1.08,0.88,5.9,5.3,Bosnia and Herzegovina,Qatar
70,Group,Group stage,1,B,Switzerland,Canada,2026-06-25,BC Place Vancouver,1,1,draw,,9,4,0,,1.29,1.39,7.2,7.5,Switzerland,Canada
7,Group,Group stage,1,C,Brazil,Morocco,2026-06-13,MetLife Stadium East Rutherford,1,0,home,,10,3,0,,1.74,0.94,9.5,7.5,Brazil,Morocco
5,Group,Group stage,1,C,Haiti,Scotland,2026-06-14,Gillette Stadium Foxborough,0,1,away,,8,3,0,,0.72,0.98,5.1,6.6,Haiti,Scotland
28,Group,Group stage,1,C,Brazil,Haiti,2026-06-20,Lincoln Financial Field Philadelphia,4,0,home,,10,3,0,,2.98,0.34,9.5,5.1,Brazil,Haiti
29,Group,Group stage,1,C,Scotland,Morocco,2026-06-19,Gillette Stadium Foxborough,0,1,away,,9,4,0,,0.94,1.12,6.6,7.5,Scotland,Morocco
